GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AdviseStaticEvictingClassloader,org.ehoffman.classloader,EvictingClassLoader,16,242,1,17,6,42,1,15,0,7
AdviseStaticEvictingClassloader,org.ehoffman.classloader,InDeveloperEnvironment,30,0,6,0,8,0,5,0,2,0
AdviseStaticEvictingClassloader,org.ehoffman.classloader,ClassContainsStaticInitialization.UnsafeClassVistor,4,169,8,28,0,28,8,23,0,13
AdviseStaticEvictingClassloader,org.ehoffman.classloader,ClassContainsStaticInitialization.UnsafeStaticInitVistor,82,84,4,14,22,24,12,11,8,6
AdviseStaticEvictingClassloader,org.ehoffman.classloader,RunInClassLoaderInterceptor,26,114,4,2,6,25,3,7,0,7
AdviseStaticEvictingClassloader,org.ehoffman.classloader,MinimalPackageSupplier,0,43,0,0,0,11,0,2,0,2
AdviseStaticEvictingClassloader,org.ehoffman.classloader,EvictingStaticTransformer,0,84,0,8,0,21,0,7,0,3
AdviseStaticEvictingClassloader,org.ehoffman.classloader,ClassContainsStaticInitialization,28,49,3,1,8,13,2,4,0,4
